ZGDYN029.06.20.885 E110.27.22.896 N029.06.23.750 E110.27.22.092 
N029.06.23.750 E110.27.22.092 N029.06.26.567 E110.27.21.313 
N029.06.09.673 E110.26.04.772 N029.06.06.162 E110.25.49.235 
N029.06.09.673 E110.26.04.772 N029.06.08.197 E110.26.11.022 
N029.06.10.953 E110.26.10.480 N029.06.09.673 E110.26.04.772 
N029.06.10.953 E110.26.10.480 N029.06.10.685 E110.26.10.187 
N029.06.10.685 E110.26.10.187 N029.06.10.465 E110.26.10.020 
N029.06.10.465 E110.26.10.020 N029.06.10.198 E110.26.09.885 
N029.06.10.198 E110.26.09.885 N029.06.09.958 E110.26.09.827 
N029.06.09.958 E110.26.09.827 N029.06.09.638 E110.26.09.811 
N029.06.09.638 E110.26.09.811 N029.06.09.298 E110.26.09.923 
N029.06.09.298 E110.26.09.923 N029.06.08.913 E110.26.10.187 
N029.06.08.618 E110.26.10.496 N029.06.08.197 E110.26.11.022 
N029.06.08.913 E110.26.10.187 N029.06.08.618 E110.26.10.496 
N029.06.26.567 E110.27.21.313 N029.06.24.080 E110.27.09.988 
N029.06.20.630 E110.27.05.944 N029.06.24.080 E110.27.09.988 
N029.06.24.080 E110.27.09.988 N029.06.22.898 E110.27.04.584 
N029.06.22.898 E110.27.04.584 N029.06.22.683 E110.27.05.136 
N029.06.22.132 E110.27.05.960 N029.06.21.800 E110.27.06.084 
N029.06.21.049 E110.27.06.031 N029.06.20.630 E110.27.05.944 
N029.06.22.683 E110.27.05.136 N029.06.22.531 E110.27.05.511 
N029.06.21.800 E110.27.06.084 N029.06.21.427 E110.27.06.111 
N029.06.21.427 E110.27.06.111 N029.06.21.049 E110.27.06.031 
N029.06.22.531 E110.27.05.511 N029.06.22.356 E110.27.05.757 
N029.06.22.356 E110.27.05.757 N029.06.22.132 E110.27.05.960 
N029.06.06.162 E110.25.49.235 N029.06.03.259 E110.25.50.103 
N029.06.03.259 E110.25.50.103 N029.06.00.361 E110.25.50.969 
N029.06.08.197 E110.26.11.022 N029.06.07.958 E110.26.12.075 
N029.06.07.958 E110.26.12.075 N029.06.06.506 E110.26.18.464 
N029.06.20.630 E110.27.05.944 N029.06.19.904 E110.27.05.064 
N029.06.19.904 E110.27.05.064 N029.06.15.799 E110.27.00.094 
N029.06.16.204 E110.26.34.263 N029.06.13.392 E110.26.35.080 
N029.06.13.392 E110.26.35.080 N029.06.10.409 E110.26.35.948 
N029.06.17.936 E110.26.42.108 N029.06.14.446 E110.26.43.128 
N029.06.14.446 E110.26.43.128 N029.06.12.161 E110.26.43.796 
N029.06.19.855 E110.26.50.802 N029.06.22.898 E110.27.04.584 
N029.06.19.855 E110.26.50.802 N029.06.16.378 E110.26.51.816 
N029.06.16.378 E110.26.51.816 N029.06.14.099 E110.26.52.480 
N029.06.10.953 E110.26.10.480 N029.06.13.893 E110.26.23.797 
N029.06.18.851 E110.26.33.497 N029.06.16.204 E110.26.34.263 
N029.06.18.401 E110.26.31.483 N029.06.18.851 E110.26.33.497 
N029.06.18.851 E110.26.33.497 N029.06.19.392 E110.26.34.686 
N029.06.19.392 E110.26.34.686 N029.06.19.994 E110.26.36.009 
N029.06.28.316 E110.26.33.590 N029.06.27.673 E110.26.33.778 
N029.06.27.673 E110.26.33.778 N029.06.26.287 E110.26.34.181 
N029.06.26.287 E110.26.34.181 N029.06.24.798 E110.26.34.613 
N029.06.24.798 E110.26.34.613 N029.06.19.994 E110.26.36.009 
N029.06.19.692 E110.26.50.060 N029.06.19.855 E110.26.50.802 
N029.06.22.552 E110.26.47.480 N029.06.22.916 E110.26.49.118 
N029.06.19.330 E110.26.48.420 N029.06.19.692 E110.26.50.060 
N029.06.22.178 E110.26.45.805 N029.06.22.552 E110.26.47.480 
N029.06.18.960 E110.26.46.743 N029.06.19.330 E110.26.48.420 
N029.06.21.834 E110.26.44.263 N029.06.22.178 E110.26.45.805 
N029.06.18.619 E110.26.45.200 N029.06.18.960 E110.26.46.743 
N029.06.21.478 E110.26.42.665 N029.06.21.834 E110.26.44.263 
N029.06.17.936 E110.26.42.108 N029.06.18.266 E110.26.43.602 
N029.06.18.266 E110.26.43.602 N029.06.18.619 E110.26.45.200 
N029.06.21.007 E110.26.40.555 N029.06.21.478 E110.26.42.665 
N029.06.17.800 E110.26.41.490 N029.06.17.936 E110.26.42.108 
N029.06.20.657 E110.26.38.984 N029.06.21.007 E110.26.40.555 
N029.06.17.453 E110.26.39.921 N029.06.17.800 E110.26.41.490 
N029.06.19.994 E110.26.36.009 N029.06.20.326 E110.26.37.499 
N029.06.20.326 E110.26.37.499 N029.06.20.657 E110.26.38.984 
N029.06.16.204 E110.26.34.263 N029.06.17.125 E110.26.38.432 
N029.06.17.125 E110.26.38.432 N029.06.17.453 E110.26.39.921 
N029.06.13.893 E110.26.23.797 N029.06.14.504 E110.26.26.560 
N029.06.14.504 E110.26.26.560 N029.06.16.204 E110.26.34.263 
N029.06.18.401 E110.26.31.483 N029.06.17.131 E110.26.25.794 
N029.06.24.355 E110.26.23.686 N029.06.17.131 E110.26.25.794 
N029.06.17.131 E110.26.25.794 N029.06.14.504 E110.26.26.560 
N029.06.23.643 E110.26.23.894 N029.06.23.756 E110.26.23.862 
N029.06.22.441 E110.26.24.245 N029.06.23.643 E110.26.23.894 
N029.06.22.077 E110.26.24.351 N029.06.22.441 E110.26.24.245 
N029.06.18.774 E110.26.25.313 N029.06.21.113 E110.26.24.631 
N029.06.21.113 E110.26.24.631 N029.06.22.077 E110.26.24.351 
N029.06.24.966 E110.26.23.059 N029.06.25.440 E110.26.23.701 
N029.06.25.321 E110.26.22.799 N029.06.25.030 E110.26.23.895 
N029.06.23.756 E110.26.23.862 N029.06.25.196 E110.26.23.442 
N029.06.17.039 E110.26.25.384 N029.06.16.616 E110.26.23.514 
N029.06.21.113 E110.26.24.631 N029.06.20.863 E110.26.23.617 
N029.06.22.441 E110.26.24.245 N029.06.22.180 E110.26.23.232 
N029.06.23.756 E110.26.23.862 N029.06.23.551 E110.26.22.833 
N029.06.24.966 E110.26.23.059 N029.06.24.839 E110.26.22.457 
N029.06.25.030 E110.26.23.895 N029.06.25.201 E110.26.24.631 
N029.06.23.643 E110.26.23.894 N029.06.23.907 E110.26.24.998 
N029.06.22.077 E110.26.24.351 N029.06.22.345 E110.26.25.445 
N029.06.17.039 E110.26.25.384 N029.06.18.734 E110.26.26.446 
N029.06.27.673 E110.26.33.778 N029.06.27.416 E110.26.32.623 
