#define gndTaxi 7895160
[GEO]
ZLLLN036.29.48.753 E103.37.08.116 N036.29.48.645 E103.37.05.477 
N036.29.43.684 E103.37.08.437 N036.29.43.576 E103.37.05.800 
N036.29.48.893 E103.37.11.514 N036.29.48.753 E103.37.08.116 
N036.29.48.893 E103.37.11.514 N036.29.43.823 E103.37.11.834 
N036.29.43.823 E103.37.11.834 N036.29.43.684 E103.37.08.437 
N036.29.56.756 E103.37.11.020 N036.29.48.893 E103.37.11.514 
N036.30.03.019 E103.37.10.624 N036.29.56.756 E103.37.11.020 
N036.30.04.670 E103.37.10.521 N036.30.03.019 E103.37.10.624 
N036.30.10.545 E103.37.10.150 N036.30.04.670 E103.37.10.521 
N036.30.03.019 E103.37.10.624 N036.30.02.868 E103.37.06.940 
N036.29.56.607 E103.37.07.339 N036.29.56.756 E103.37.11.020 
N036.30.45.474 E103.37.07.951 N036.30.45.323 E103.37.04.238 
N036.30.59.563 E103.37.07.062 N036.30.59.410 E103.37.03.341 
N036.31.30.825 E103.37.05.092 N036.31.14.972 E103.37.06.092 
N036.31.30.675 E103.37.01.351 N036.31.30.825 E103.37.05.092 
N036.31.46.263 E103.37.04.120 N036.31.30.825 E103.37.05.092 
N036.31.52.435 E103.37.03.731 N036.31.46.263 E103.37.04.120 
N036.31.46.110 E103.37.00.369 N036.31.46.263 E103.37.04.120 
N036.31.30.675 E103.37.01.351 N036.31.46.110 E103.37.00.369 
N036.31.23.103 E103.37.01.833 N036.31.30.675 E103.37.01.351 
N036.31.21.061 E103.37.01.964 N036.31.23.103 E103.37.01.833 
N036.31.18.913 E103.37.02.101 N036.31.21.061 E103.37.01.964 
N036.31.17.531 E103.37.02.188 N036.31.18.913 E103.37.02.101 
N036.31.16.164 E103.37.02.274 N036.31.17.531 E103.37.02.188 
N036.31.14.819 E103.37.02.361 N036.31.16.164 E103.37.02.274 
N036.31.14.972 E103.37.06.092 N036.31.14.819 E103.37.02.361 
N036.31.13.222 E103.37.02.463 N036.31.14.819 E103.37.02.361 
N036.31.11.647 E103.37.02.563 N036.31.13.222 E103.37.02.463 
N036.31.09.328 E103.37.02.711 N036.31.11.647 E103.37.02.563 
N036.31.09.482 E103.37.06.438 N036.31.09.328 E103.37.02.711 
N036.31.07.144 E103.37.02.849 N036.31.09.328 E103.37.02.711 
N036.31.05.552 E103.37.02.950 N036.31.07.144 E103.37.02.849 
N036.31.04.180 E103.37.03.037 N036.31.05.552 E103.37.02.950 
N036.31.02.530 E103.37.03.143 N036.31.04.180 E103.37.03.037 
N036.30.59.410 E103.37.03.341 N036.31.01.035 E103.37.03.238 
N036.31.01.035 E103.37.03.238 N036.31.02.530 E103.37.03.143 
N036.30.57.874 E103.37.03.440 N036.30.59.410 E103.37.03.341 
N036.30.56.943 E103.37.03.499 N036.30.57.874 E103.37.03.440 
N036.30.55.769 E103.37.03.573 N036.30.56.943 E103.37.03.499 
N036.30.54.203 E103.37.03.673 N036.30.55.769 E103.37.03.573 
N036.30.52.633 E103.37.03.771 N036.30.54.203 E103.37.03.673 
N036.30.51.260 E103.37.03.860 N036.30.52.633 E103.37.03.771 
N036.30.49.878 E103.37.03.947 N036.30.51.260 E103.37.03.860 
N036.30.48.495 E103.37.04.035 N036.30.49.878 E103.37.03.947 
N036.30.45.323 E103.37.04.238 N036.30.47.117 E103.37.04.124 
N036.30.47.117 E103.37.04.124 N036.30.48.495 E103.37.04.035 
N036.30.43.394 E103.37.04.362 N036.30.45.323 E103.37.04.238 
N036.30.41.513 E103.37.04.481 N036.30.43.394 E103.37.04.362 
N036.30.39.923 E103.37.04.582 N036.30.41.513 E103.37.04.481 
N036.30.38.238 E103.37.04.688 N036.30.39.923 E103.37.04.582 
N036.30.36.589 E103.37.04.795 N036.30.38.238 E103.37.04.688 
N036.30.33.899 E103.37.04.965 N036.30.36.589 E103.37.04.795 
N036.30.33.899 E103.37.04.965 N036.30.34.050 E103.37.08.670 
N036.30.07.209 E103.37.06.665 N036.30.08.521 E103.37.06.581 
N036.30.05.920 E103.37.06.745 N036.30.07.209 E103.37.06.665 
N036.30.02.868 E103.37.06.940 N036.30.04.596 E103.37.06.830 
N036.30.04.596 E103.37.06.830 N036.30.05.920 E103.37.06.745 
N036.30.01.322 E103.37.07.038 N036.30.02.868 E103.37.06.940 
N036.29.59.985 E103.37.07.123 N036.30.01.322 E103.37.07.038 
N036.29.56.607 E103.37.07.339 N036.29.58.707 E103.37.07.205 
N036.29.58.707 E103.37.07.205 N036.29.59.985 E103.37.07.123 
N036.30.08.521 E103.37.06.581 N036.30.10.394 E103.37.06.462 
N036.30.10.545 E103.37.10.150 N036.30.10.394 E103.37.06.462 
N036.31.52.281 E103.36.59.975 N036.31.52.435 E103.37.03.731 
N036.31.09.328 E103.37.02.711 N036.31.09.106 E103.36.57.376 
N036.30.23.530 E103.37.09.333 N036.30.23.378 E103.37.05.635 
N036.30.04.670 E103.37.10.521 N036.30.04.765 E103.37.12.838 
N036.30.04.765 E103.37.12.838 N036.30.04.792 E103.37.13.501 
N036.29.56.756 E103.37.11.020 N036.29.56.853 E103.37.13.382 
N036.29.56.853 E103.37.13.382 N036.29.56.882 E103.37.14.100 
N036.29.43.945 E103.37.14.822 N036.29.43.823 E103.37.11.834 
N036.31.52.435 E103.37.03.731 N036.31.52.562 E103.37.06.900 
N036.31.52.562 E103.37.06.900 N036.31.52.736 E103.37.11.164 
N036.31.46.389 E103.37.07.199 N036.31.46.566 E103.37.11.552 
N036.31.46.263 E103.37.04.120 N036.31.46.362 E103.37.06.541 
N036.31.46.362 E103.37.06.541 N036.31.46.389 E103.37.07.199 
N036.30.23.530 E103.37.09.333 N036.30.17.278 E103.37.09.726 
N036.30.17.278 E103.37.09.726 N036.30.10.545 E103.37.10.150 
N036.31.09.482 E103.37.06.438 N036.31.03.475 E103.37.06.816 
N036.30.34.050 E103.37.08.670 N036.30.30.844 E103.37.08.871 
N036.30.30.844 E103.37.08.871 N036.30.23.530 E103.37.09.333 
N036.30.33.975 E103.37.06.777 N036.30.34.190 E103.37.09.748 
N036.30.34.699 E103.37.10.936 N036.30.34.896 E103.37.11.132 
N036.30.34.190 E103.37.09.748 N036.30.34.232 E103.37.10.020 
N036.30.34.232 E103.37.10.020 N036.30.34.314 E103.37.10.318 
N036.30.34.314 E103.37.10.318 N036.30.34.418 E103.37.10.556 
N036.30.34.418 E103.37.10.556 N036.30.34.536 E103.37.10.751 
N036.30.34.536 E103.37.10.751 N036.30.34.699 E103.37.10.936 
N036.30.37.005 E103.37.12.305 N036.30.30.844 E103.37.08.871 
N036.30.36.239 E103.37.11.880 N036.30.35.953 E103.37.11.599 
N036.30.35.953 E103.37.11.599 N036.30.35.804 E103.37.11.349 
N036.30.35.804 E103.37.11.349 N036.30.35.684 E103.37.11.053 
N036.30.35.684 E103.37.11.053 N036.30.35.580 E103.37.10.739 
N036.30.35.580 E103.37.10.739 N036.30.35.526 E103.37.10.480 
N036.30.35.526 E103.37.10.480 N036.30.35.518 E103.37.10.183 
N036.30.35.518 E103.37.10.183 N036.30.35.556 E103.37.09.804 
N036.30.35.556 E103.37.09.804 N036.30.35.681 E103.37.09.399 
N036.30.35.681 E103.37.09.399 N036.30.35.880 E103.37.09.059 
N036.30.35.880 E103.37.09.059 N036.30.36.110 E103.37.08.802 
N036.30.36.110 E103.37.08.802 N036.30.36.389 E103.37.08.601 
N036.30.45.474 E103.37.07.951 N036.30.36.779 E103.37.08.498 
N036.30.40.184 E103.37.08.282 N036.30.34.050 E103.37.08.670 
N036.30.36.389 E103.37.08.601 N036.30.36.779 E103.37.08.498 
N036.30.22.290 E103.37.12.527 N036.30.22.020 E103.37.12.120 
N036.30.22.020 E103.37.12.120 N036.30.21.900 E103.37.11.819 
N036.30.21.900 E103.37.11.819 N036.30.21.815 E103.37.11.518 
N036.30.21.815 E103.37.11.518 N036.30.21.780 E103.37.11.160 
N036.30.21.780 E103.37.11.160 N036.30.21.840 E103.37.10.680 
N036.30.21.840 E103.37.10.680 N036.30.21.959 E103.37.10.319 
N036.30.21.959 E103.37.10.319 N036.30.22.200 E103.37.09.899 
N036.30.22.200 E103.37.09.899 N036.30.22.500 E103.37.09.600 
N036.30.22.500 E103.37.09.600 N036.30.22.780 E103.37.09.384 
N036.30.42.842 E103.37.15.561 N036.30.36.239 E103.37.11.880 
N036.31.03.475 E103.37.06.816 N036.30.59.563 E103.37.07.062 
N036.31.03.475 E103.37.06.816 N036.30.58.034 E103.37.11.155 
N036.30.59.288 E103.37.10.155 N036.30.59.460 E103.37.09.840 
N036.30.59.460 E103.37.09.840 N036.30.59.520 E103.37.09.541 
N036.30.59.520 E103.37.09.541 N036.30.59.580 E103.37.09.180 
N036.30.59.580 E103.37.09.180 N036.30.59.580 E103.37.08.820 
N036.30.59.580 E103.37.08.820 N036.30.59.520 E103.37.08.580 
N036.30.59.520 E103.37.08.580 N036.30.59.460 E103.37.08.280 
N036.30.59.460 E103.37.08.280 N036.30.59.340 E103.37.07.979 
N036.30.59.340 E103.37.07.979 N036.30.59.160 E103.37.07.680 
N036.30.59.160 E103.37.07.680 N036.30.58.920 E103.37.07.440 
N036.30.58.920 E103.37.07.440 N036.30.58.619 E103.37.07.260 
N036.30.58.260 E103.37.07.144 N036.30.45.474 E103.37.07.951 
N036.30.59.563 E103.37.07.062 N036.30.46.913 E103.37.07.857 
N036.30.58.619 E103.37.07.260 N036.30.58.260 E103.37.07.144 
N036.31.07.248 E103.36.57.493 N036.31.09.106 E103.36.57.376 
N036.31.05.872 E103.36.57.580 N036.31.07.248 E103.36.57.493 
N036.31.04.502 E103.36.57.667 N036.31.05.872 E103.36.57.580 
N036.31.02.871 E103.36.57.770 N036.31.04.502 E103.36.57.667 
N036.31.01.519 E103.36.57.854 N036.31.02.871 E103.36.57.770 
N036.31.00.137 E103.36.57.941 N036.31.01.519 E103.36.57.854 
N036.31.13.913 E103.37.09.465 N036.31.14.100 E103.37.09.240 
N036.31.14.100 E103.37.09.240 N036.31.14.280 E103.37.08.940 
N036.31.14.280 E103.37.08.940 N036.31.14.400 E103.37.08.580 
N036.31.14.400 E103.37.08.580 N036.31.14.460 E103.37.08.219 
N036.31.14.460 E103.37.08.219 N036.31.14.460 E103.37.07.799 
N036.31.14.460 E103.37.07.799 N036.31.14.400 E103.37.07.379 
N036.31.14.400 E103.37.07.379 N036.31.14.220 E103.37.06.961 
N036.31.14.220 E103.37.06.961 N036.31.13.980 E103.37.06.660 
N036.31.13.980 E103.37.06.660 N036.31.13.740 E103.37.06.420 
N036.31.13.740 E103.37.06.420 N036.31.13.440 E103.37.06.240 
N036.31.13.141 E103.37.06.208 N036.31.09.482 E103.37.06.438 
N036.31.13.440 E103.37.06.240 N036.31.13.141 E103.37.06.208 
N036.31.14.972 E103.37.06.092 N036.31.11.468 E103.37.06.312 
N036.31.13.621 E103.37.09.674 N036.31.14.277 E103.37.09.203 
N036.31.14.277 E103.37.09.203 N036.31.14.460 E103.37.09.000 
N036.31.14.460 E103.37.09.000 N036.31.14.640 E103.37.08.760 
N036.31.14.640 E103.37.08.760 N036.31.14.779 E103.37.08.470 
N036.31.14.779 E103.37.08.470 N036.31.14.880 E103.37.08.160 
N036.31.14.880 E103.37.08.160 N036.31.14.940 E103.37.07.799 
N036.31.14.940 E103.37.07.799 N036.31.14.940 E103.37.07.440 
N036.31.14.940 E103.37.07.440 N036.31.14.899 E103.37.04.315 
N036.31.07.607 E103.37.14.003 N036.31.13.913 E103.37.09.465 
N036.30.50.721 E103.36.58.575 N036.30.52.581 E103.36.58.459 
N036.30.48.863 E103.36.58.692 N036.30.50.721 E103.36.58.575 
N036.30.47.000 E103.36.58.808 N036.30.48.863 E103.36.58.692 
N036.30.45.309 E103.36.58.914 N036.30.47.000 E103.36.58.808 
N036.30.43.324 E103.36.59.040 N036.30.45.309 E103.36.58.914 
N036.30.41.611 E103.36.59.148 N036.30.43.324 E103.36.59.040 
N036.30.40.213 E103.36.59.236 N036.30.41.611 E103.36.59.148 
N036.30.38.803 E103.36.59.325 N036.30.40.213 E103.36.59.236 
N036.30.36.577 E103.36.59.463 N036.30.37.419 E103.36.59.411 
N036.30.37.419 E103.36.59.411 N036.30.38.803 E103.36.59.325 
N036.30.52.581 E103.36.58.459 N036.30.53.525 E103.36.58.399 
N036.30.53.525 E103.36.58.399 N036.30.54.432 E103.36.58.341 
N036.30.57.658 E103.36.58.138 N036.30.58.197 E103.36.58.105 
N036.30.56.726 E103.36.58.198 N036.30.57.658 E103.36.58.138 
N036.30.54.432 E103.36.58.341 N036.30.55.553 E103.36.58.272 
N036.30.55.553 E103.36.58.272 N036.30.56.726 E103.36.58.198 
N036.30.55.275 E103.36.58.288 N036.30.53.987 E103.36.58.370 
N036.30.53.987 E103.36.58.370 N036.30.52.417 E103.36.58.468 
N036.30.52.417 E103.36.58.468 N036.30.51.043 E103.36.58.554 
N036.30.51.043 E103.36.58.554 N036.30.49.664 E103.36.58.641 
N036.30.49.664 E103.36.58.641 N036.30.48.279 E103.36.58.729 
N036.30.48.279 E103.36.58.729 N036.30.46.901 E103.36.58.814 
N036.30.46.901 E103.36.58.814 N036.30.45.106 E103.36.58.927 
N036.30.45.323 E103.37.04.238 N036.30.45.106 E103.36.58.927 
N036.30.45.106 E103.36.58.927 N036.30.43.177 E103.36.59.051 
N036.30.43.177 E103.36.59.051 N036.30.41.296 E103.36.59.167 
N036.30.41.296 E103.36.59.167 N036.30.39.706 E103.36.59.268 
N036.30.39.706 E103.36.59.268 N036.30.38.021 E103.36.59.373 
N036.30.38.021 E103.36.59.373 N036.30.36.369 E103.36.59.477 
N036.30.36.369 E103.36.59.477 N036.30.33.810 E103.37.02.751 
N036.30.33.810 E103.37.02.751 N036.30.33.899 E103.37.04.965 
N036.30.36.011 E103.36.59.498 N036.30.35.547 E103.37.00.530 
N036.30.36.011 E103.36.59.498 N036.30.36.796 E103.36.59.452 
N036.30.29.985 E103.37.05.215 N036.30.33.899 E103.37.04.965 
N036.30.28.638 E103.37.05.300 N036.30.29.985 E103.37.05.215 
N036.30.17.489 E103.37.06.010 N036.30.23.378 E103.37.05.635 
N036.30.10.394 E103.37.06.462 N036.30.16.036 E103.37.06.101 
N036.30.16.036 E103.37.06.101 N036.30.17.489 E103.37.06.010 
N036.30.29.267 E103.37.16.419 N036.30.24.056 E103.37.13.509 
N036.30.24.056 E103.37.13.509 N036.30.17.278 E103.37.09.726 
N036.30.04.792 E103.37.13.501 N036.30.04.973 E103.37.17.946 
N036.29.56.882 E103.37.14.100 N036.29.57.059 E103.37.18.445 
N036.29.44.126 E103.37.19.258 N036.29.43.945 E103.37.14.822 
N036.30.59.288 E103.37.10.155 N036.30.53.340 E103.37.14.900 
N036.30.26.061 E103.37.05.464 N036.30.26.002 E103.37.04.008 
N036.30.23.378 E103.37.05.635 N036.30.26.061 E103.37.05.464 
N036.30.26.061 E103.37.05.464 N036.30.28.638 E103.37.05.300 
N036.30.23.378 E103.37.05.635 N036.30.23.257 E103.37.02.712 
N036.30.34.126 E103.37.04.954 N036.30.35.100 E103.37.04.888 
N036.30.34.126 E103.37.04.954 N036.30.33.142 E103.37.05.014 
N036.30.33.090 E103.37.01.870 N036.30.33.142 E103.37.05.014 
N036.30.33.142 E103.37.05.014 N036.30.31.825 E103.37.05.097 
N036.30.31.825 E103.37.05.097 N036.30.30.825 E103.37.05.160 
N036.30.31.825 E103.37.05.097 N036.30.31.795 E103.37.03.575 
N036.30.25.576 E103.37.05.493 N036.30.24.519 E103.37.05.564 
N036.30.24.519 E103.37.05.564 N036.30.24.406 E103.37.02.278 
N036.30.24.519 E103.37.05.564 N036.30.23.527 E103.37.05.625 
N036.30.23.527 E103.37.05.625 N036.30.21.465 E103.37.05.759 
N036.30.21.465 E103.37.05.759 N036.30.21.221 E103.37.01.933 
N036.30.21.465 E103.37.05.759 N036.30.20.028 E103.37.05.846 
N036.30.20.028 E103.37.05.846 N036.30.18.336 E103.37.05.955 
N036.30.20.028 E103.37.05.846 N036.30.19.927 E103.37.03.922 
N036.30.15.089 E103.37.06.164 N036.30.13.431 E103.37.06.274 
N036.30.13.431 E103.37.06.274 N036.30.13.397 E103.37.04.186 
N036.30.13.431 E103.37.06.274 N036.30.10.091 E103.37.06.480 
N036.30.10.091 E103.37.06.480 N036.30.08.708 E103.37.06.571 
N036.30.59.190 E103.36.58.002 N036.31.00.137 E103.36.57.941 
N036.30.59.190 E103.36.58.002 N036.30.58.496 E103.36.57.257 
N036.30.58.197 E103.36.58.105 N036.30.58.440 E103.36.58.261 
N036.30.58.440 E103.36.58.261 N036.30.58.679 E103.36.58.478 
N036.30.58.679 E103.36.58.478 N036.30.58.860 E103.36.58.679 
N036.30.58.860 E103.36.58.679 N036.30.58.996 E103.36.58.893 
N036.30.58.996 E103.36.58.893 N036.30.59.100 E103.36.59.160 
N036.30.59.410 E103.37.03.341 N036.30.59.190 E103.36.58.002 
N036.30.59.100 E103.36.59.160 N036.30.59.183 E103.36.59.376 
N036.30.59.183 E103.36.59.376 N036.30.59.254 E103.36.59.632 
N036.31.06.927 E103.36.57.512 N036.31.05.333 E103.36.57.614 
N036.31.05.333 E103.36.57.614 N036.31.03.960 E103.36.57.701 
N036.31.03.960 E103.36.57.701 N036.31.02.312 E103.36.57.804 
N036.31.02.312 E103.36.57.804 N036.31.00.819 E103.36.57.899 
N036.31.00.819 E103.36.57.899 N036.30.59.999 E103.36.57.950 
N036.31.06.927 E103.36.57.512 N036.31.07.987 E103.36.57.448 
